[40]
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
[0]
1,6
1,18
2,9
2,26
3,4
3,12
3,32
5,15
5,21
5,34
6,2
6,33
7,6
7,8
7,9
8,7
8,24
8,35
8,38
9,0
10,5
10,23
10,29
10,35
11,13
11,14
12,30
15,1
15,30
15,38
16,18
18,28
18,39
19,10
19,28
20,20
20,25
20,28
21,36
22,2
22,11
22,13
23,25
23,35
24,2
24,7
24,15
24,27
24,34
25,18
27,15
29,1
29,2
29,16
30,11
30,28
31,23
32,20
33,35
34,0
34,10
35,8
35,25
35,38
37,4
37,9
37,16
37,22
37,33
37,39
38,9
38,17
38,19
39,16
39,27
