[60]
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
[0]
0,46
0,58
1,29
1,46
2,4
2,12
2,32
3,35
3,41
3,54
4,2
4,33
4,46
4,48
4,49
5,27
5,44
5,55
5,58
6,0
6,45
7,3
7,9
7,15
7,33
7,34
8,30
10,1
10,30
10,38
10,58
12,28
12,39
12,50
13,8
13,40
13,45
13,48
14,36
14,42
14,51
14,53
15,45
15,55
16,2
16,7
16,15
16,27
16,34
16,58
18,15
19,21
19,22
19,36
20,11
20,28
21,3
21,40
22,35
22,40
22,50
23,28
23,45
23,58
24,44
24,49
24,56
25,2
25,13
25,19
25,29
25,37
25,39
26,16
26,27
26,42
26,45
27,11
27,44
28,8
28,13
28,51
28,59
29,18
29,32
29,52
30,56
31,7
32,6
32,24
32,39
33,23
33,24
33,44
34,11
34,15
34,36
34,42
35,45
36,12
36,16
37,51
37,58
38,13
38,28
40,29
40,34
40,58
41,8
41,30
42,17
42,20
42,36
43,51
44,15
44,38
45,39
46,2
46,40
47,40
49,0
49,56
50,2
50,6
50,32
50,37
51,17
51,43
51,59
52,7
52,33
52,58
53,0
53,56
53,57
54,44
55,3
55,48
56,7
56,9
56,29
56,36
56,42
57,6
57,9
57,44
57,47
57,50
58,59
59,6
59,17
59,19
59,20
59,22
59,25
59,41
59,48
