[70]
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
60
61
62
63
64
65
66
67
68
69
[0]
0,1
0,4
0,6
1,0
1,5
5,1
6,2
6,4
7,10
8,9
8,13
10,8
11,10
12,7
12,8
12,12
13,13
14,14
14,16
15,15
15,18
16,16
16,19
17,19
18,20
19,15
21,26
23,21
23,26
24,25
25,21
27,21
27,25
30,29
30,33
31,31
31,32
32,29
32,33
33,31
34,32
39,35
40,38
40,41
41,36
41,37
42,42
42,43
42,46
42,48
43,42
44,44
45,46
46,47
48,44
49,50
49,53
49,54
50,52
50,54
51,50
51,52
51,53
51,55
52,55
54,52
54,53
56,60
57,58
57,62
59,57
60,58
60,59
60,61
61,58
61,60
61,61
62,57
62,59
64,67
64,68
64,69
67,63
68,63
69,65
69,67
69,68
69,69
